source_url,target_url,status,reason,confidence,notes
"/breed-groups/herding-dogs","/dog-breeds/group/herding-dogs/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/breed-groups/hound-dogs","/dog-breeds/group/hound-dogs/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/breed-groups/hybrid-designer-mixes","/dog-breeds/group/hybrid-designer-mixes/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/breed-groups/sporting-dogs","/dog-breeds/group/sporting-dogs/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/breed-groups/toy-dogs","/dog-breeds/group/toy-dogs/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/breed-groups/working-dogs","/dog-breeds/group/working-dogs/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/dog-insurance-waiting-periods-canada","/blog/dog-insurance-waiting-periods-canada/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/average-vet-costs-in-canada","/blog/average-vet-costs-in-canada/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/dog-names","/blog/trending-dog-names-2025/","redirect_required","Legacy or content-linked route maps to generated route (302).","medium","Draft Cloudflare Pages _redirects entry."
"/dog-names/","/blog/trending-dog-names-2025/","redirect_required","Legacy or content-linked route maps to generated route (302).","medium","Draft Cloudflare Pages _redirects entry."
"/dog-insurance-canada","/blog/is-dog-insurance-worth-it-canada/","redirect_required","Legacy or content-linked route maps to generated route (302).","medium","Draft Cloudflare Pages _redirects entry."
"/per-condition-vs-annual-deductible","/blog/unlimited-vs-10000-annual-limit/","redirect_required","Legacy or content-linked route maps to generated route (302).","medium","Draft Cloudflare Pages _redirects entry."
"/parks/charleson-park","/dog-parks/charleson-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/crab-park","/dog-parks/crab-park-at-portside-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/everett-crowley-park","/dog-parks/everett-crowley-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/fraser-river-park","/dog-parks/fraser-river-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/hadden-park","/dog-parks/hadden-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/john-hendry-park","/dog-parks/john-hendry-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/queen-elizabeth-park","/dog-parks/queen-elizabeth-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/spanish-banks-beach-park","/dog-parks/spanish-banks-dog-park-vancouver/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/parks/sunset-beach-park","/dog-parks/sunset-beach-dog-park/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/alberta-dog-parks","/dog-parks/ab/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/british-columbia-dog-parks","/dog-parks/bc/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/ontario-dog-parks","/dog-parks/on/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/quebec-dog-parks","/dog-parks/qc/","redirect_required","Legacy or content-linked route maps to generated route (301).","high","Draft Cloudflare Pages _redirects entry."
"/","/","unchanged","Generated route is already launch URL.","high",""
"/dog-parks/","/dog-parks/","unchanged","Generated route is already launch URL.","high",""
"/blog/","/blog/","unchanged","Generated route is already launch URL.","high",""
"/dog-breeds/","/dog-breeds/","unchanged","Generated route is already launch URL.","high",""
"/directory/","/directory/","unchanged","Generated route is already launch URL.","high",""
"/parks/vanier-park","","owner_review","Internal content link found, but no matching generated park route was identified.","low","Do not implement blindly; owner should confirm intended destination."
"/about-us/","","owner_review","Legacy utility/legal URL may exist in Webflow, but no generated equivalent was created.","unknown","Do not invent legal or contact content during migration."
"/contact/","","owner_review","Legacy utility/legal URL may exist in Webflow, but no generated equivalent was created.","unknown","Do not invent legal or contact content during migration."
"/privacy-policy/","","owner_review","Legacy utility/legal URL may exist in Webflow, but no generated equivalent was created.","unknown","Do not invent legal or contact content during migration."
"/terms-of-use/","","owner_review","Legacy utility/legal URL may exist in Webflow, but no generated equivalent was created.","unknown","Do not invent legal or contact content during migration."
